p,max_D,max_error_mu,max_error_var
10,0.05874549078808433,0.0034759735104767375,0.00034230410720901064
20,0.028704955320996817,0.0008110506175292853,0.0004581572810013375
30,0.023611008120017707,0.0003957320928889563,0.0003182682552266159
40,0.022001912078357833,0.00025485476621428527,0.00023909603571223986
